article,daily_views,annual_views,daily_average
.xxx,116345,29336871,80374.99
XNXX,113498,12105766,33166.48
Squid Game season 2,100635,7813701,21407.4
Pete Hegseth,396342,6635911,18180.58
Robbie Williams,92383,3058483,8379.41
Game Changer (film),177646,2885019,7904.16
Neil Gaiman,253707,2096013,5742.5
Sam Darnold,96766,2076284,5688.45
Deaths in 2025,131205,1707883,4679.13
Better Man (film),92333,1511902,4142.2
Kumbh Mela,190245,1311715,3593.74
January 2025 Southern California wildfires,112274,1005833,2755.71
American Primeval,98651,743787,2037.77
Josie Totah,126358,619409,1697.01
Makar Sankranti,118829,578512,1584.96
Pentagón Jr.,209150,549423,1505.27
Amanda Palmer,106418,548020,1501.42
Tony Slattery,305211,468562,1283.73
Rachel Platten,138684,357253,978.78
Mark Michael Hutchinson,143087,195145,534.64
