date,article,views,total_views
2025-01-13,Aunt_Jemima,296264,295492
2025-01-13,Game_Changer_(film),223256,221963
2025-01-13,Jayden_Daniels,177183,175645
2025-01-13,Kumbh_Mela,154427,151442
2025-01-13,January_2025_Southern_California_wildfires,161956,144906
2025-01-13,Leslie_Charleson,146176,144225
2025-01-13,Deaths_in_2025,135557,130321
2025-01-13,Mike_Vrabel,128981,127886
2025-01-13,Nosferatu_(2024_film),124333,121529
2025-01-13,Squid_Game_season_2,120458,115320
2025-01-13,Better_Man_(film),113541,112421
2025-01-13,American_Primeval,113189,111585
2025-01-13,Nishesh_Basavareddy,112001,110748
2025-01-13,Neil_Gaiman,110783,108828
2025-01-13,Robbie_Williams,107702,106675
2025-01-13,Josie_Totah,102813,102292
2025-01-13,Baker_Mayfield,101473,100718
2025-01-13,Bo_Burnham,93421,93136
2025-01-13,Dendrocnide_moroides,92883,92478
2025-01-13,Squid_Game,94921,91236
2025-01-13,Pushpa_2:_The_Rule,92255,90098
2025-01-13,Greenland,91380,89216
2025-01-13,.xxx,87665,87104
2025-01-13,Brigham_Young,85568,85045
2025-01-13,Robin_Zander,82317,81935
2025-01-13,Palisades_Fire_(2025),86452,79863
2025-01-13,Dan_Quinn_(American_football),78643,78062
2025-01-13,Landman_(TV_series),77725,76146
2025-01-13,Cleopatra,75847,75319
2025-01-13,Elon_Musk,80983,74209
2025-01-13,Lohri,75920,73244
2025-01-13,Fateh_(2025_film),72073,70797
2025-01-13,Bob_Dylan,75418,69995
2025-01-13,XNXX,67791,67173
2025-01-13,Madha_Gaja_Raja,67679,66857
2025-01-13,Apple_Network_Server,96268,66346
2025-01-13,Portal:Current_events,82070,65064
2025-01-13,Mel_Gibson,65768,64778
2025-01-13,List_of_highest-grossing_Indian_films,65880,64634
2025-01-13,Donald_Trump,97712,64252
2025-01-13,Jerry_Springer,64220,63373
2025-01-13,Zane_Gonzalez,61505,60881
2025-01-13,Makar_Sankranti,63708,60048
2025-01-13,Nick_Kyrgios,59353,58714
2025-01-13,Santa_Ana_winds,60741,58478
2025-01-13,Jacob_Fearnley,58809,58298
2025-01-13,Severance_(TV_series),58817,57844
2025-01-13,Babygirl,58407,57432
2025-01-13,YouTube,63662,57422
2025-01-13,Sonic_the_Hedgehog_3_(film),57582,56288
