date,views
2024-01-15,437775899
2024-01-16,431586314
2024-01-17,419658158
2024-01-18,419203599
2024-01-19,408240510
2024-01-20,408335659
2024-01-21,428307687
2024-01-22,425215070
2024-01-23,416866038
2024-01-24,412182722
2024-01-25,411731323
2024-01-26,404234523
2024-01-27,395919084
2024-01-28,422072141
2024-01-29,426664074
2024-01-30,415825796
2024-01-31,403514319
2024-02-01,367691426
2024-02-02,366170678
2024-02-03,376231947
2024-02-04,392634671
2024-02-05,391882270
2024-02-06,367349840
2024-02-07,363642961
2024-02-08,356813322
2024-02-09,359639200
2024-02-10,356989496
2024-02-11,381223811
2024-02-12,392224521
2024-02-13,365881863
2024-02-14,356890897
2024-02-15,358282287
2024-02-16,377371272
2024-02-17,377014309
2024-02-18,411609565
2024-02-19,419785096
2024-02-20,417325923
2024-02-21,412903232
2024-02-22,409975649
2024-02-23,392188356
2024-02-24,363039055
2024-02-25,375945327
2024-02-26,383017662
2024-02-27,384076714
2024-02-28,387663183
2024-02-29,371836173
2024-03-01,373565009
2024-03-02,375892348
2024-03-03,386540768
2024-03-04,381247809
2024-03-05,367984839
2024-03-06,370865614
2024-03-07,367967457
2024-03-08,362686320
2024-03-09,365759401
2024-03-10,388868595
2024-03-11,398248817
2024-03-12,376462571
2024-03-13,369695215
2024-03-14,367987865
2024-03-15,363828350
2024-03-16,366887663
2024-03-17,387241724
2024-03-18,374771595
2024-03-19,365535776
2024-03-20,356150513
2024-03-21,355205542
2024-03-22,354106845
2024-03-23,361458952
2024-03-24,385707623
2024-03-25,377518999
2024-03-26,371201396
2024-03-27,373693926
2024-03-28,391693947
2024-03-29,372215486
2024-03-30,348999311
2024-03-31,359146941
2024-04-01,361255247
2024-04-02,358690483
2024-04-03,353238554
2024-04-04,353189639
2024-04-05,346904170
2024-04-06,353883770
2024-04-07,370194074
2024-04-08,368294454
2024-04-09,360354353
2024-04-10,349222637
2024-04-11,360917379
2024-04-12,352019627
2024-04-13,351795300
2024-04-14,376496369
2024-04-15,369239368
2024-04-16,358719692
2024-04-17,354741330
2024-04-18,355740244
2024-04-19,358687215
2024-04-20,361753311
2024-04-21,373435873
2024-04-22,371488928
2024-04-23,363611378
2024-04-24,375013315
2024-04-25,366586688
2024-04-26,368857348
2024-04-27,373687869
2024-04-28,380582748
2024-04-29,383808254
2024-04-30,376546841
2024-05-01,374237208
2024-05-02,362602071
2024-05-03,360502675
2024-05-04,372009765
2024-05-05,385224712
2024-05-06,381265670
2024-05-07,372455585
2024-05-08,371390843
2024-05-09,359471027
2024-05-10,328810578
2024-05-11,325020360
2024-05-12,345970400
2024-05-13,341630894
2024-05-14,339123261
2024-05-15,338438684
2024-05-16,340773634
2024-05-17,328452566
2024-05-18,330009279
2024-05-19,351231713
2024-05-20,356211917
2024-05-21,357140312
2024-05-22,332652660
2024-05-23,327188869
2024-05-24,337057756
2024-05-25,341731648
2024-05-26,361293157
2024-05-27,371253684
2024-05-28,359166980
2024-05-29,346842038
2024-05-30,344352764
2024-05-31,353518035
2024-06-01,331714308
2024-06-02,352367054
2024-06-03,356305680
2024-06-04,370387487
2024-06-05,344663482
2024-06-06,351401317
2024-06-07,362370462
2024-06-08,359629074
2024-06-09,374515960
2024-06-10,370179010
2024-06-11,346936034
2024-06-12,328197335
2024-06-13,302758564
2024-06-14,301284347
2024-06-15,301634292
2024-06-16,313567126
2024-06-17,314074695
2024-06-18,385789005
2024-06-19,311147205
2024-06-20,310639455
2024-06-21,308493045
2024-06-22,308508578
2024-06-23,322588650
2024-06-24,320147643
2024-06-25,317575493
2024-06-26,318427125
2024-06-27,321772551
2024-06-28,307348719
2024-06-29,323897179
2024-06-30,330659469
2024-07-01,328998392
2024-07-02,326336927
2024-07-03,328574592
2024-07-04,330053370
2024-07-05,344963950
2024-07-06,331387072
2024-07-07,346005858
2024-07-08,339034641
2024-07-09,335409398
2024-07-10,326876186
2024-07-11,325827350
2024-07-12,325279261
2024-07-13,326209579
2024-07-14,341672874
2024-07-15,337720408
2024-07-16,330001821
2024-07-17,325700308
2024-07-18,331219363
2024-07-19,325698618
2024-07-20,323305323
2024-07-21,341553927
2024-07-22,337600443
2024-07-23,327827459
2024-07-24,323612370
2024-07-25,318597033
2024-07-26,330424512
2024-07-27,343326284
2024-07-28,354852476
2024-07-29,332363194
2024-07-30,338993037
2024-07-31,333177347
2024-08-01,347813082
2024-08-02,321887269
2024-08-03,356794029
2024-08-04,353605825
2024-08-05,352002430
2024-08-06,344393664
2024-08-07,342557100
2024-08-08,341840197
2024-08-09,332992817
2024-08-10,339724532
2024-08-11,352518083
2024-08-12,346788497
2024-08-13,357817322
2024-08-14,352594760
2024-08-15,355310916
2024-08-16,332618253
2024-08-17,334811122
2024-08-18,358525340
2024-08-19,331032900
2024-08-20,319103067
2024-08-21,325346314
2024-08-22,319710156
2024-08-23,316670265
2024-08-24,318674402
2024-08-25,326836996
2024-08-26,322682586
2024-08-27,322108158
2024-08-28,324818835
2024-08-29,320505349
2024-08-30,325699731
2024-08-31,325848531
2024-09-01,327700126
2024-09-02,328446303
2024-09-03,320391099
2024-09-04,298035827
2024-09-05,313013179
2024-09-06,312513210
2024-09-07,323939076
2024-09-08,336886681
2024-09-09,334058595
2024-09-10,328215084
2024-09-11,312065114
2024-09-12,318542059
2024-09-13,320857891
2024-09-14,321323730
2024-09-15,334860506
2024-09-16,334760747
2024-09-17,328382318
2024-09-18,338660752
2024-09-19,335356593
2024-09-20,339501245
2024-09-21,337729328
2024-09-22,349817334
2024-09-23,345722831
2024-09-24,349481918
2024-09-25,347135947
2024-09-26,336636359
2024-09-27,344879327
2024-09-28,334882738
2024-09-29,353259630
2024-09-30,362450722
2024-10-01,338601634
2024-10-02,330430970
2024-10-03,328898068
2024-10-04,328441992
2024-10-05,325926446
2024-10-06,343710983
2024-10-07,337767872
2024-10-08,331110529
2024-10-09,336814396
2024-10-10,334048903
2024-10-11,325539348
2024-10-12,333355717
2024-10-13,340433588
2024-10-14,340109292
2024-10-15,332991027
2024-10-16,343153958
2024-10-17,350414411
2024-10-18,339671897
2024-10-19,348644834
2024-10-20,359592176
2024-10-21,357396790
2024-10-22,348092975
2024-10-23,349088952
2024-10-24,341728915
2024-10-25,335860447
2024-10-26,336864799
2024-10-27,353309781
2024-10-28,346042100
2024-10-29,340497549
2024-10-30,329818342
2024-10-31,323718694
2024-11-01,330809773
2024-11-02,347187327
2024-11-03,349129982
2024-11-04,350755795
2024-11-05,351673561
2024-11-06,373032508
2024-11-07,349070120
2024-11-08,364059595
2024-11-09,336743708
2024-11-10,359477128
2024-11-11,366320107
2024-11-12,358909945
2024-11-13,361674578
2024-11-14,360985731
2024-11-15,459962375
2024-11-16,481960511
2024-11-17,480620506
2024-11-18,484585851
2024-11-19,450006460
2024-11-20,396655565
2024-11-21,340083218
2024-11-22,346205055
2024-11-23,345748220
2024-11-24,358351223
2024-11-25,353215400
2024-11-26,339115026
2024-11-27,353078999
2024-11-28,337167055
2024-11-29,319016344
2024-11-30,329688854
2024-12-01,347555045
2024-12-02,354037009
2024-12-03,344649251
2024-12-04,343974708
2024-12-05,325173312
2024-12-06,326461945
2024-12-07,336698045
2024-12-08,374739728
2024-12-09,391203027
2024-12-10,349695226
2024-12-11,342961241
2024-12-12,336407827
2024-12-13,332589554
2024-12-14,328814821
2024-12-15,348886938
2024-12-16,357894540
2024-12-17,338069269
2024-12-18,365329100
2024-12-19,338429181
2024-12-20,335629064
2024-12-21,335051259
2024-12-22,345630102
2024-12-23,341292219
2024-12-24,356325671
2024-12-25,382067997
2024-12-26,380898609
2024-12-27,383729376
2024-12-28,379671595
2024-12-29,396791568
2024-12-30,393202338
2024-12-31,367501083
2025-01-01,387745169
2025-01-02,378026559
2025-01-03,382765467
2025-01-04,375917095
2025-01-05,389838843
2025-01-06,394468761
2025-01-07,385617384
2025-01-08,369730674
2025-01-09,354304304
2025-01-10,349593699
2025-01-11,355016333
2025-01-12,369739945
2025-01-13,355803938
