Country,Capital,Latitude,Longitude,Articles_Within_10km
Afghanistan,Kabul,34.5289,69.1725,129
Albania,Tiranë (Tirana),41.3275,19.8189,167
Algeria,El Djazaïr  (Algiers),36.7525,3.042,135
American Samoa,Pago Pago,-14.2781,-170.7025,85
Andorra,Andorra la Vella,42.5078,1.5211,131
Angola,Luanda,-8.8368,13.2343,51
Anguilla,The Valley,18.217,-63.0578,41
Antigua and Barbuda,St. John's,17.1172,-61.8457,101
Argentina,Buenos Aires,-34.6051,-58.4004,500
Armenia,Yerevan,40.182,44.5146,236
Aruba,Oranjestad,12.524,-70.027,59
Australia,Canberra,-35.2835,149.1281,392
Austria,Wien (Vienna),48.2064,16.3707,500
Azerbaijan,Baku,40.3777,49.892,289
Bahamas,Nassau,25.0582,-77.3431,52
Bahrain,Al-Manamah (Manama),26.2154,50.5832,140
Bangladesh,Dhaka,23.7104,90.4074,500
Barbados,Bridgetown,13.1,-59.6167,108
Belarus,Minsk,53.9,27.5667,157
Belgium,Bruxelles-Brussel,50.8467,4.3499,500
Belize,Belmopan,17.25,-88.7667,22
Benin,Cotonou,6.3654,2.4183,33
Bermuda,Hamilton,32.2915,-64.778,104
Bhutan,Thimphu,27.4661,89.6419,31
Bolivia (Plurinational State of),La Paz,-16.5,-68.15,54
Bosnia and Herzegovina,Sarajevo,43.8486,18.3564,226
Botswana,Gaborone,-24.6545,25.9086,35
Brazil,Brasília,-15.7797,-47.9297,78
British Virgin Islands,Road Town,18.4167,-64.6167,42
Brunei Darussalam,Bandar Seri Begawan,4.9403,114.9481,208
Bulgaria,Sofia,42.6975,23.3242,229
Burkina Faso,Ouagadougou,12.3642,-1.5383,26
Burundi,Bujumbura,-3.3822,29.3644,85
Cabo Verde,Praia,14.9215,-23.5087,65
Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.916,93
Cameroon,Yaoundé,3.8667,11.5167,30
Canada,Ottawa-Gatineau,45.4166,-75.698,500
Caribbean Netherlands,Kralendijk,12.15,-68.2667,14
Cayman Islands,George Town,19.2866,-81.3744,28
Central African Republic,Bangui,4.3612,18.555,20
Chad,N'Djaména,12.1067,15.0444,26
Channel Islands,St. Helier,49.188,-2.1049,121
Channel Islands,St. Peter Port,49.4598,-2.5353,81
Chile,Santiago,-33.4569,-70.6483,346
China,Beijing,39.9075,116.3972,500
"China, Hong Kong SAR",Hong Kong,22.2796,114.1887,500
"China, Macao SAR",Macao,22.2006,113.5461,217
"China, Taiwan Province of China",Taibei,25.047,121.5457,500
Colombia,Bogotá,4.6097,-74.0818,178
Comoros,Moroni,-11.7022,43.2551,25
Congo,Brazzaville,-4.2658,15.2832,72
Cook Islands,Rarotonga,-21.23,-159.76,35
Costa Rica,San José,9.9278,-84.0807,134
Côte d'Ivoire,Abidjan,5.3453,-4.0268,36
Croatia,Zagreb,45.8144,15.978,255
Cuba,La Habana (Havana),23.1195,-82.3785,170
Curaçao,Willemstad,12.1084,-68.9335,53
Cyprus,Lefkosia (Nicosia),35.1595,33.3669,131
Czechia,Praha (Prague),50.088,14.4208,500
Dem. People's Republic of Korea,P'yongyang,39.0339,125.7543,177
Democratic Republic of the Congo,Kinshasa,-4.3276,15.3136,91
Denmark,København (Copenhagen),55.6759,12.5655,500
Djibouti,Djibouti,11.5877,43.1447,25
Dominica,Roseau,15.3017,-61.3881,47
Dominican Republic,Santo Domingo,18.4896,-69.9018,165
Ecuador,Quito,-0.2299,-78.525,92
Egypt,Al-Qahirah (Cairo),30.0392,31.2394,342
El Salvador,San Salvador,13.6894,-89.1872,76
Equatorial Guinea,Malabo,3.75,8.7833,16
Eritrea,Asmara,15.3333,38.9333,20
Estonia,Tallinn,59.437,24.7535,401
Ethiopia,Addis Ababa,9.025,38.7469,112
Faeroe Islands,Tórshavn,62.0097,-6.7716,72
Falkland Islands (Malvinas),Stanley,-51.7012,-57.8494,31
Fiji,Suva,-18.1416,178.4415,39
Finland,Helsinki,60.1692,24.9402,500
France,Paris,48.8534,2.3488,500
French Guiana,Cayenne,4.9333,-52.3333,20
French Polynesia,Papeete,-17.5333,-149.5667,23
Gabon,Libreville,0.3925,9.4537,19
Gambia,Banjul,13.4531,-16.6794,29
Georgia,Tbilisi,41.6941,44.8337,163
Germany,Berlin,52.5244,13.4105,500
Ghana,Accra,5.556,-0.1969,170
Gibraltar,Gibraltar,36.1447,-5.3526,366
Greece,Athínai (Athens),37.9534,23.749,500
Greenland,Nuuk (Godthåb),64.1835,-51.7216,34
Grenada,St.George's,12.0564,-61.7485,54
Guadeloupe,Basse-Terre,15.9985,-61.7255,30
Guam,Hagåtña,13.4757,144.7489,119
Guatemala,Ciudad de Guatemala (Guatemala City),14.6127,-90.5307,65
Guinea,Conakry,9.5716,-13.6476,29
Guinea-Bissau,Bissau,11.8636,-15.5977,22
Guyana,Georgetown,6.8045,-58.1553,75
Haiti,Port-au-Prince,18.5392,-72.335,70
Holy See,Vatican City,41.9024,12.4533,500
Honduras,Tegucigalpa,14.0818,-87.2068,28
Hungary,Budapest,47.498,19.0399,414
Iceland,Reykjavík,64.1355,-21.8954,180
India,Delhi,28.6667,77.2167,500
Indonesia,Jakarta,-6.2118,106.8416,342
Iran (Islamic Republic of),Tehran,35.6944,51.4215,320
Iraq,Baghdad,33.3406,44.4009,201
Ireland,Dublin,53.3331,-6.2489,500
Isle of Man,Douglas,54.15,-4.4833,168
Israel,Jerusalem,31.769,35.2163,500
Italy,Roma (Rome),41.8947,12.4811,500
Jamaica,Kingston,17.997,-76.7936,127
Japan,Tokyo,35.6895,139.6917,500
Jordan,Amman,31.9552,35.945,113
Kazakhstan,Astana,51.1801,71.446,52
Kenya,Nairobi,-1.2833,36.8167,212
Kiribati,Tarawa,1.3272,172.9813,16
Kuwait,Al Kuwayt (Kuwait City),29.3697,47.9783,89
Kyrgyzstan,Bishkek,42.87,74.59,53
Lao People's Democratic Republic,Vientiane,17.9667,102.6,36
Latvia,Riga,56.946,24.1059,279
Lebanon,Bayrut (Beirut),33.9,35.4833,198
Lesotho,Maseru,-29.3167,27.4833,10
Liberia,Monrovia,6.3005,-10.7969,40
Libya,Tarabulus (Tripoli),32.8752,13.1875,53
Liechtenstein,Vaduz,47.1415,9.5215,110
Lithuania,Vilnius,54.6892,25.2798,270
Luxembourg,Luxembourg,49.6117,6.13,224
Madagascar,Antananarivo,-18.9137,47.5361,37
Malawi,Lilongwe,-13.9669,33.7873,31
Malaysia,Kuala Lumpur,3.1412,101.6865,398
Maldives,Male,4.1748,73.5089,65
Mali,Bamako,12.65,-8.0,36
Malta,Valletta,35.8997,14.5147,442
Marshall Islands,Majuro,7.0897,171.3803,19
Martinique,Fort-de-France,14.6089,-61.0733,47
Mauritania,Nouakchott,18.0858,-15.9785,58
Mauritius,Port Louis,-20.1619,57.4989,68
Mayotte,Mamoudzou,-12.7794,45.2272,28
Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,500
Micronesia (Fed. States of),Palikir,6.9174,158.1588,24
Monaco,Monaco,43.7333,7.4167,218
Mongolia,Ulaanbaatar,47.9077,106.8832,91
Montenegro,Podgorica,42.4411,19.2636,99
Montserrat,Brades Estate,16.7918,-62.2106,25
Morocco,Rabat,34.0133,-6.8326,72
Mozambique,Maputo,-25.9653,32.5892,41
Myanmar,Nay Pyi Taw,19.745,96.1297,19
Namibia,Windhoek,-22.5594,17.0832,96
Nauru,Nauru,-0.5308,166.9112,41
Nepal,Kathmandu,27.7017,85.3206,256
Netherlands,Amsterdam,52.374,4.8897,500
New Caledonia,Nouméa,-22.2763,166.4572,11
New Zealand,Wellington,-41.2866,174.7756,286
Nicaragua,Managua,12.1328,-86.2504,33
Niger,Niamey,13.5137,2.1098,26
Nigeria,Abuja,9.0574,7.4898,32
Niue,Alofi,-19.0585,-169.9213,13
Northern Mariana Islands,Saipan,15.2123,145.7545,53
Norway,Oslo,59.9127,10.7461,500
Oman,Masqat (Muscat),23.6139,58.5922,46
Pakistan,Islamabad,33.7035,73.0594,126
Palau,Koror,7.3426,134.4789,27
Panama,Ciudad de Panamá (Panama City),8.9958,-79.5196,151
Papua New Guinea,Port Moresby,-9.4431,147.1797,25
Paraguay,Asunción,-25.3007,-57.6359,115
Peru,Lima,-12.0432,-77.0282,285
Philippines,Manila,14.6042,120.9822,500
Poland,Warszawa (Warsaw),52.2298,21.0118,500
Portugal,Lisboa (Lisbon),38.7169,-9.1399,452
Puerto Rico,San Juan,18.4663,-66.1057,296
Qatar,Ad-Dawhah (Doha),25.2747,51.5245,218
Republic of Korea,Seoul,37.5683,126.9778,500
Republic of Moldova,Chişinău,47.0056,28.8575,88
Réunion,Saint-Denis,-20.8823,55.4504,21
Romania,Bucuresti (Bucharest),44.4328,26.1043,465
Russian Federation,Moskva (Moscow),55.755,37.6218,500
Rwanda,Kigali,-1.9474,30.0579,56
Saint Helena,Jamestown,-15.9387,-5.7168,37
Saint Kitts and Nevis,Basseterre,17.2948,-62.7261,50
Saint Lucia,Castries,14.006,-60.991,67
Saint Pierre and Miquelon,Saint-Pierre,46.7738,-56.1815,11
Saint Vincent and the Grenadines,Kingstown,13.1587,-61.2248,35
Samoa,Apia,-13.8333,-171.7667,58
San Marino,San Marino,43.9333,12.45,70
Sao Tome and Principe,São Tomé,0.3365,6.7273,62
Saudi Arabia,Ar-Riyadh (Riyadh),24.6905,46.7096,156
Senegal,Dakar,14.6937,-17.4441,64
Serbia,Beograd (Belgrade),44.8176,20.4633,500
Seychelles,Victoria,-4.6167,55.45,52
Sierra Leone,Freetown,8.484,-13.2299,45
Singapore,Singapore,1.2897,103.8501,500
Sint Maarten (Dutch part),Philipsburg,18.026,-63.0458,42
Slovakia,Bratislava,48.1482,17.1067,193
Slovenia,Ljubljana,46.0511,14.5051,315
Solomon Islands,Honiara,-9.4333,159.95,50
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,65
South Africa,Cape Town,-33.9258,18.4232,307
South Sudan,Juba,4.8517,31.5825,20
Spain,Madrid,40.4165,-3.7026,500
Sri Lanka,Colombo,6.9319,79.8478,289
State of Palestine,Al-Quds[East Jerusalem],31.7834,35.2339,500
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,90
Suriname,Paramaribo,5.8664,-55.1668,79
Swaziland,Mbabane,-26.3167,31.1333,15
Sweden,Stockholm,59.3326,18.0649,500
Switzerland,Bern,46.9481,7.4474,242
Syrian Arab Republic,Dimashq (Damascus),33.5086,36.3084,165
Tajikistan,Dushanbe,38.5358,68.7791,48
TFYR Macedonia,Skopje,42.0,21.4333,136
Thailand,Krung Thep (Bangkok),13.722,100.5252,500
Timor-Leste,Dili,-8.5601,125.5668,76
Togo,Lomé,6.1375,1.2123,32
Tokelau,Tokelau,-9.38,-171.25,13
Tonga,Nuku'alofa,-21.1394,-175.2032,38
Trinidad and Tobago,Port of Spain,10.6662,-61.5166,71
Tunisia,Tunis,36.819,10.1658,199
Turkey,Ankara,39.9199,32.8543,187
Turkmenistan,Ashgabat,37.95,58.3833,65
Turks and Caicos Islands,Cockburn Town,21.4612,-71.1419,9
Tuvalu,Funafuti,-8.5189,179.1991,22
Uganda,Kampala,0.3163,32.5822,314
Ukraine,Kyiv (Kiev),50.4454,30.5186,433
United Arab Emirates,Abu Zaby (Abu Dhabi),24.4648,54.3618,95
United Kingdom,London,51.5085,-0.1257,500
United Republic of Tanzania,Dodoma,-6.1722,35.7395,28
United States of America,"Washington, D.C.",38.8951,-77.0364,500
United States Virgin Islands,Charlotte Amalie,18.3419,-64.9307,117
Uruguay,Montevideo,-34.8335,-56.1674,210
Uzbekistan,Tashkent,41.2647,69.2163,118
Vanuatu,Port Vila,-17.7338,168.3219,27
Venezuela (Bolivarian Republic of),Caracas,10.488,-66.8792,167
Viet Nam,Hà Noi,21.0245,105.8412,153
Wallis and Futuna Islands,Matu-Utu,-13.2816,-176.1745,47
Western Sahara,El Aaiún,27.1532,-13.2014,6
Yemen,Sana'a',15.3531,44.2078,61
Zambia,Lusaka,-15.4134,28.2771,49
Zimbabwe,Harare,-17.8294,31.0539,96
